ticker,name,year,pred_return_1y,pred_return_2y,pred_return_3y,pred_return_4y,pred_return_5y
NVDA,NVIDIA CORP,2024,-0.07028109663888349,0.6982059992102183,1.2208988178040783,0.6442304361848368,1.4249761413000677
AAPL,Apple Inc.,2024,0.41549895835678063,1.0842858949706788,1.6225206369483365,2.1300558372366547,2.4837289394057267
GOOGL,Alphabet Inc.,2024,0.006798966443957848,0.3175581554503834,0.6440791851479236,0.4649812950369115,0.9151219812949687
TSLA,"Tesla, Inc.",2024,0.23623852750893676,0.44097637949475776,0.10882157945489003,0.34831495882675895,0.8263183948867041
AMZN,AMAZON COM INC,2024,-0.061846957953126724,0.0317938880108408,0.421364870370108,1.0101936721068425,2.194733837750154
BRK-B,BERKSHIRE HATHAWAY INC,2024,0.0065143695097742045,0.2944240265449448,0.27007731398552065,0.47091674022448116,0.5481341756796262
AVGO,Broadcom Inc.,2024,0.45065440191697,0.8477808570851756,0.9903686217677072,1.9892002848056127,2.1770628878137672
META,"Meta Platforms, Inc.",2024,-0.05418610967258352,0.3957730301990483,0.5744880212677205,0.9190610746693318,0.9261209001796483
MSFT,MICROSOFT CORP,2024,-0.0026590416564635593,0.16426225368361616,0.5545874654417317,0.7985296322016293,2.179567103052451
LLY,ELI LILLY & Co,2024,0.17924508497353683,0.4922317829723465,0.9330527215109012,1.988573666363448,1.6295467989326522
